Features,Label
"The pacu and floor nurses afterwards marking the patient off the list ""yup, knew he wasn't come back to us by cancellation or otherwise""


I didn't see nothing this bad in the OR during covid, but we saw some wild things and I totally can visualize in my head how this entire circus went down.",Yes
"Part of the problem is that patients learn, and some of them have been trained that only a pain score of 7+ is taken seriously. Some hospital systems have rather rigid prescribing guidelines based on pain scores, where a score below 6 is not treated, and a 7 or 8 will get APAP.

Then those patients go to a different hospital system and never rate their pain below a 7 because they want access to NSAIDs if they feel they need them.",Yes
Or assess a patient ,No
"I had a patient who got transferred to us from another hospital because they had no idea why they were in cardiogenic shock. Young, healthy, no family or personal medical history. Barrage of viral and bacterial workups, numerous vials of blood to test the most rare diseases that could lead to it. Must have drawn hundreds of vials, and even with the patient having an A-line, it was annoying sitting down to chart, and then ""hey we ordered a few more labs that we might need."" I hit em with an annoyed, ""that's the last of it, right?"" They say yes, then they send an intern to tell me they needed other ones a few mins later. It's not hard to discuss among each other for a bit, then decide to order them all together.",Yes
"Male np here, this is asinine. If you want physician pay go to med school. ",No
I'm a student midwife and I have been at hospitals where I could count on this and then I've been at hospitals where the horror stories are true. I'm glad that you take your patients' pain seriously.,Yes
Give clear discharge instructions. Include what the patient needs to do and what they should come back to the ER for. I like knowing what your plan is for a the patient. If this doesn't get clearly communicated ideally in the discharge paperwork the nurse either has to clarify with you or figure out the DC instructions on their own which isn't ideal.,No
"He swore he'd never been told that. Had never taken water pills of any kind before. He had no diagnosis of CHF with our office previously -I'm attached to a larger pcp office so I had his PCPs chart also. I was kinda dumbfounded but from everything he told me, (always take that with a grain of salt) he stated my cardiologist told me my heart was fine and wasn't causing my SOB so I'm here to figure out what is causing it if it's not my heart, he thought he had pneumonia or something lung related. 

I know patients aren't always great historians but I felt like this was more than just him being forgetful considering how much history he gave me. 

I would love to know how the convo with his cardio went. I had him take his labs and xray with him. 

We're out in the boonies, so care is questionable sometimes, even with specialists who should know much more than I do.",Yes
"> Insurance doesn't reimburse us for the medication and/or supplies and barely covers the cost of the device. It's shitty that we have to even consider it, but that is our reality.

But are you up front with the patient? Do you say, ""This can be an incredibly uncomfortable procedure for some women, but I'm unable to offer procedural sedation because of reimbursements""? 

This right here highlights the exact issue I was discussing. There is a lack of transparency when IUDs are offered and it makes women distrust their physicians. Many women may pursue other methods of birth control if they had transparent doctors telling them about the pain level associated with insertions/removals. There are plenty of women speaking out about their traumatic insertions and there is now a ton of published journal articles about this as well.",Yes
"Multiple things can be true at the same time. 

You can have legitimately never seen anything similar happen in your career or personal life. 


Likewise, out of the billions of patients in the world, there can exist an amount who have had their symptoms completely disregarded and their pain not treated. 


Respectfully, if you can not see beyond your own personal experiences, you should probably check your internal biases.",No
"I start working on the floor next week and im kinda nervous to start. I keep hearing about how my floor is kinda like the wild west of the hospital and if i can make it there, i can make it anywhere.. it's making me nervous about my performance as it's possible i can be let go if by end of orientation im not up to their standards and handling the full patient load. I was under the impression (during my interview) that id get 12 weeks orientation, but i just found out it's 6 weeks. It makes me nervy cuz at another hospital it's 8 weeks for the same ratio, but here is 2 weeks less?? 

I had clinicals in arizona where the ratio was 6pts to 1 nurse, so i thought i could handle 4 pts by end of my orientation. Now i just feel slightly scared after hearing those comments and everything. I kno that we all start somewhere, it just nerve wracking. I also do not want to be let go, so im going to try my best because i tried so hard to land this job. I desperately need this job to work out for me, i cannot go back to being unemployed. Anyways just dumping my thoughts here",Yes
"I understand that and respect that, but if I know I'm getting report from long-winded nurses, I will try to avoid them first, too. I also have years of experience where I will tell long-winded that I want the cut and dry basics, which helps speed things along. But that comes with experience to have the cajones to tell those people to abbreviate report. 

But you are right, where people take too long. But if you're going to pounce, tell me why. *""Rncookiemaker,I got dibs for report to you first because long-winded RN has your other five patients.""*",No
Unfortunately I could not stay any longer. I understand your point. I did however stay over two hours to help code this patient and handle the coroner call and organ donation paperwork. There was also a call team that could have stayed but I also don't think they should have had to do that.,Yes
"I had a patient scream at the top of their lungs when I die, bury me upside down so the whole world can kiss my ass!",Yes
"Tangible data. Monthly revenue, billing vs total. Yearly same thing. You can track procedures. Number of patients. Make sure you have access to all of these.",No
"No time for a phone call when you're 50 meters away lol.

But that does remind me of my EMT days in Oakland back in the mid 2000s where we would call the ER from our Nokias and give them a heads up that we were coming in with a disaster-splash and they would be like, ""mm-hmm, mm-hmm, okay, **click*/*""

And then we'd show up and watch the patient code on the gurney while the intake nurse asked me to spell their last name for the third time.",Yes
"I worked with this one psych nurse who's known for working 6 12s (night shift), like back to back, She's very pleasant. I was trying to get to know her, She then hit me out of nowhere with the first dark humor i've heard in this field, She said it better, but it went along the lines of, *I used to work in med-surg, but I honestly couldn't take it anymore. My patients deaths were just taking a huge toll on me. So I switched to psych. At least in this field it isn't us killing the patients*. Mind you, my jaw dropped and no she has never killed or harmed any patient in med-surg. She just meant with the code blues and stuff, and sometimes them not being successful with trying to resuscitate the patient,",Yes
"Shockingly, most females prefer a female Ob/Gyn so they see more patients.  Meanwhile payments for Ob/Gyn services are horribly low. Across the country hospitals are closing their Ob department as they lose money.  Female healthy is low priority.  

Many health organizations alot 15 mins for a female Ob exam. While a male with a urinary problem gets 45 mins with a urologist who gets a significantly higher payment from the govt or insurer.  

NPs were brought in to alleviate the crunch on physicians by dealing with simple routine cases.  Docs deal with these too but also have 8 or more years of training/debt and deal with the complex life or death problems.  Because I did some welding in HS doesn't mean I should be paid the same as an underwater welder. 

The hope must be that the NPs lawyers can pull a jury who thinks anyone wearing scrubs is essentially a doc so they should all be paid the same. Suspect the judge will knock the case out on motion practice long before trial.",Yes
"If it's 7:30 and you have 3 patients you still need to get report on, and you are having a whole tea spill sesh with the secretaries,don't throw a fit when you are called out on it by the very tired off going nurse.

Thank you for coming to my TED talk. 
",Yes
"This is anecdotal, but when I had appendicitis, sitting down for more than ten minutes would make me see stars, so I was standing up when my back needed a break for laying down. I was also on my phone because how else would I have distracted myself? And I was waiting for surgery, so the pain was obviously intense and the situation serious.  

You cannot make broad statements like this. People are different and cope in different ways. This is even more true if the pain is chronic - an acute pain will knock you off your feet and scare you, but if you have chronic pain you learn how to managed flares so that they're not all encompassing. This doesn't mean that your pain isn't high.   

Some things are objective - if a patient is jumping up and down, switching what part of their body they're guarding because they forget where the pain is supposed to be, doing push-ups or whatever - but a lot are subjective and you cannot use to gauge if your patient is actually in the referred amount of pain or not. ",Yes
"We had a guy a few years ago that was a no code but not officially hospice/CMO. He deteriorated very quickly and we were trying to call his sister (for decision making on short notice as she adamantly refused opioid analgesia and he was suffering at this point and badly needed it) and for hours she didn't answer. The guy died and when she finally called back an hour later and then came, she went ABSOLUTELY BAT SHIT over the fact that his face had been clean shaven. For reference he had a nasty ratty beard with mats and food and one of the techs during the day cut it all off for hygienic reasons. The patient was very rude and quite unpleasant when he was alive. His sister was more upset over his damn face being shaved then him dying ffs",Yes
"Well the general thought over this is, that the NP(s) in question haven't really thought through this, surprise. Let them give equal payment. Now which profession are hospitals/ clinics more likely to hire, physicians or midlevels, who can do less and who need more supervision?",No
This is why I really believe all nurses should start at the bottom and work their way up. I was a CNA first and I really think this opened my eyes to how skin ulcers and hygiene are very important. We can do better. Our patients deserve better. I can't imagine being in a bed helpless. I can't.,No
"This sounds very inappropriate for a new grad. 

Also stop being afraid to ask for help. That doc is there, ask every time. Sit down today with your superior and discuss this. You need more close training and mentorship.

If this post is even real (sorry OP, when there's no post or comment history I question if this is made up by someone to repost on anti PA forums) - you need to immediately cry foul to protect your patients and your license, leaving if need be.",No
"Hard to say but it's 6-12 months to start feeling some confidence in EM.  That said the missing ingredient here is time spent in the main ER which is why I am always a little skeptical of UC or fast track jobs when starting out.  You should be able to identify a sick patient hopefully after graduation,  but identifying subtle presentations of other serious pathology takes time and if you aren't getting that exposure to these types of patients on the regular it can be stressful when starting out.  Pathology can be sneaky and these patients will absolutely find there way into FT from time to time 


I would really clarify what it means to have support from an MD in main ER, because 99% of the time this means that there will be a very busy doc working with acuity and won't have time or doesn't really want to be bothered to review cases with you.  Maybe ask some of the other PAs who have been there for awhile what  this actually looks like and then make your decision.",No
"My first job was inpatient cardiology out of school. I didn't know anything when i started. Now being one year into the job, I am much more confident than I was. I think that's how you feel for any job out of school, regardless of specialty. You're talking about going to outpatient, I've now transitioned into an inpatient AND outpatient role for cardiology. I can say I would not be half the provider I am in the outpatient setting if it wasn't for my experience while inpatient. You learn the most in the hospital setting. I would recommend staying in this job unless it is detrimental to your mental well being. A first job in cardiology is hard, but it gives you an extremely solid foundation for the rest of your career once you get your feet under you",No
"I stopped asking numbers as well. It's so hard to base pain on a numeric scale. I ask does it hurt really bad, if meds are ordered, which do you prefer, the lower or higher dose. A lot of my patients I've found don't want to over medicate so they will take that lower dose. It's probably unconventional but whatever.",No
yes I agree with stabilizing patient first if possible. I was disagreeing with your comment about always giving sedation for each intubation  and hoping for the best,No
"This is why most of the nurses I work with are DNR-DNI. There is nothing more awful than doing an awakening trial on my intubated patients and we cut off their sedation and expect them to be all chill while CPAPing on the vent. They look terrified. I'm so sorry for the trauma you went through. It's part of weaning from the vent and successful extubation, but truly awful when patients are awake, aware, and restrained. It's no wonder there is such a high incidence of ICU PTSD for patients. For any painful procedure, I don't want to feel it, hear it, smell it, or remember it.",Yes
"Ok, fair enough. Report to the OR for surgery. What's wrong? Oh, you can't. OK, fine, then I want you to independently read this radiological image and write it up appropriately. What do you mean you can't? Leave at 3? But there are still patients....",Yes
"No one knows everything about everything. If I have family in the room, I always bring my computer with me so I have access to the patient chart as well as up to date. If I look something up and I can't find it, I'll tell them let me get some more information about that and I'll let you know. Another of my favorite phrases is I don't want to give you incorrect info so let me double check and I'll get back to you. 

The most important things are to be honest and to remember to come back and tell them what you've found out.",No
"Yeah, like now where am I going to find a doctor who's willing to go ""eeny, meeny, miny, moe"" with my organs to determine which one he wants to remove?",Yes
"I don't work in the OR, but reading the order of suspension makes it sound like they couldn't actually see what he was doing (especially considering the surgeon himself was apparently operating blind too),until he handed them a whole ass liver at the end. 

At that point the patient had been dead for 15 minutes already. This report doesn't say so, but *surely* multiple OR staff spoke up and reported this after the fact,right?!",Yes
